Commonwealth of Kentucky Minority and Women Business Enterprise Certification Program,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
TTHawkins Transportation LLC,2028-08-30 00:00:00,MBE,Trucking,"Trucking industry, delivery of freight, equipment, machinery, and vehicles",Terrill T. Hawkins,Fayette,Lexington,KY,,https://www.tthawkinstransportation.com/
"Unique Essentials, LLC",2026-05-30 00:00:00,MWBE,Retail,"Natural based hair care, mixed, manufactured, and distributed locally and nationally for consumer and wholesale use",Benea Durrett,Jefferson,Louisville,KY,502-298-1921,https://www.essentiallyuniquesalon.com/
"United American Supply, LLC",2027-03-30 00:00:00,MBE,Supplier/Distributor,Distribute personal & industrial safety supplies & janitorial supplies,Arleta Taylor,Jessamine,Nicholasville,KY,859-881-1850,http://www.unitedamericansupply.com/
"Unlimited Graphics, INC.",2026-05-30 00:00:00,WBE,Other,"Commercial screen printing, embroidery, offset printing & promotional products",Shari Damron,Ballard,LaCenter,KY,270-665-5750,https://www.unlimitedgraphics.com/
"Valu-Tech, Inc. dba VT Design Solutions ",2026-08-30 00:00:00,MBE,Professional Services,"Leveraging CAD technology to provide design services for commercial and government customers, including AutoCAD, ReVit, and other programs",Al Wofford,Hamilton,Cincinnati,OH,937-476-2220,https://www.vt-designs.com/
Vanderbur Industrial Products Incorporated,2029-04-30 00:00:00,WBE,Supplier,Distributor/supplier of Division 10 specialties in commercial construction,Sue Vanderbur Jenkins,Jefferson,Prospect,KY,502-550-1483,Vanderbur.com
Vani LLC dba Subway 4260,2027-03-30 00:00:00,MWBE,Retail,"Sandwich shop, salads, soda, chips, and cookies",Bhavna Patel,Jefferson,Louisville,KY,502-379-3907,"Please provide website address, if applicable"
"VBH Consulting, LLC dba The Hardin Group",2027-05-30 00:00:00,WBE,Consultant,Inspiring and developing leaders and workplaces to perform at their highest potential,Mia Vitale Hardin,Fayette,Lexington,KY,256-348-2055,https://vitaleandco.com/
"Vergence, LLC",2027-07-30 00:00:00,MBE,Professional Services,"IT and healthcare staffing, technology solutions and government contracting",Gabe Browne,,Indianapolis,IN,317-508-1699,https://www.vergencegroup.com/
"VIC Enterprises, Inc.",2028-11-30 00:00:00,WBE,Contractor,"General Contractor, grade & drain, demolition, tree trimming, concrete, bridges not more than 100', seeding & protection, tree removal",Vicki J. Penny,Calloway,Murray,KY,270-210-5324,
"VisionSPEAK Consulting, LLC",2027-03-30 00:00:00,MWBE,Consultant,"Kingdom Life Coaching, Vision Strategy Coaching and Consulting, Personal and Professional Development Consulting and Workshop Facilitation, Motivational Speaking, Author",Dr. Candice Johnson,Jefferson,Louisville,KY,502-718-6095,https://www.visionspeakconsulting.com/
"Vividus Labs, LLC",2029-01-30 00:00:00,MWBE,Consultant,Data strategy and evaluation,"Alisia Maria McClain
Tim McClain",Jefferson,Louisville,KY,"502-876-8759
502-494-4311",https://www.vividuslabs.com/
"VLo & Company, LLC dba AJ Construction",2028-01-30 00:00:00,MWBE,Subcontractor,"Metal stud framing, drywall installation and finish and acoustical ceilings",Veronica Lopez,Spencer,Taylorsville,KY,502-544-0462,
"VPS Architecture, P.C.",2027-06-30 00:00:00,WBE,Professional Services,"Architecture design, interior design, project planning, feasibility studies  ",Sarah A. Schuler,Vanderburgh,Evansville,IN,812-423-7729,https://vpsarch.com/
"VS Engineering, Inc.",2029-01-30 00:00:00,MBE,Professional Services,"Engineering services for transportation, bridges & other structures, traffic signals, signing & lighting, water resources, survey & right of way, construction inspection, and environmental services",Sanjay Patel,,Indianapolis,IN,317-293-3542,https://www.vsengineering.com/
"V-Soft Consulting Group, Inc.",2028-09-30 00:00:00,MWBE,Professional Services,"IT staffing, managed services, IT business solutions and IT engineering, custom application development, systems and software assessments, infrastructure design and installation, and upgrades and implementations",Radhika Veeramachaneni,Jefferson,Louisville,KY,502-425-8425,https://www.vsoftconsulting.com/
"Vym, LLC",2028-01-30 00:00:00,WBE,Consultant,"Strategic consulting in philanthropy; public health; social & behavior change; and monitoring, evaluation, research, and learning",Catherine Harbour,Fayette,Lexington,KY,859-567-9667,
"Walker Flags Since 1960, Inc.",2028-07-30 00:00:00,WBE,Retail,"Flags, flagpoles, finials and flag accessories",Donna Walker Mancini,Jefferson,Louisville,KY,502-394-1974,https://www.walkerflags.com/store/catalog
"Walker Healthforce, LLC",2029-02-28 00:00:00,MWBE,Professional Services,"Contract staffing services across all IT Healthcare application categories from core clinical & patient data platforms to complex billing environments including ambulatory & inpatient systems, clinical & revenue  cycle implementation, electronic medical records (EMR) & financial & billing systems; IT and Healthcare technology staff augmentation services to healthcare payer & provider organizations",Tifiany Walker,Oakland,Bloomfield Hills,MI,248-809-5854,https://walkerhealthforce.com/
Wallace Barber Insurance Agency,2026-10-30 00:00:00,MBE,Professional Services,Insurance and financial services,Wallace Barber,Fayette,Lexington,KY,859-543-0300,https://wallacebarber.com/
"WAMCO, Inc.",2028-10-30 00:00:00,MBE,Contractor,"Asphalt, paving, grade work, seal and striping",Tremaine Wooldridge,Pulaski,Somerset,KY,606-416-4968,https://www.facebook.com/wooldridgeasphalt/
"Warner Transportation, LLC",2027-03-30 00:00:00,MBE,Trucking,"Pick-up and drop-off goods to and from any state, interstate election",Terrell S. Warner,Fayette,Lexington,KY,859-489-7348,https://warnertransportation.net/
Warren Technology Incorporated,2028-08-30 00:00:00,WBE,Contractor,"telecommunications, IT services, closed circuit television (CCTV), door access and audio/visual (AV)",Jenny Warren,Jefferson,Louisville,KY,502-639-9687,https://warrentechnology.com/
"Waterleaf Solutions, LLC",2026-08-30 00:00:00,WBE,Consultant,"Business writing, technical writing, educational materials, document preparation, and business consulting",Melissa Frazier,Campbell,Newport,KY,859-760-3579,https://waterleafsolutions.com/
"Watts Real Estate Consulting and Development, LLC  ",2026-08-30 00:00:00,MBE,Consultant,"Provide services for the efforts of creating and fostering affordable housing, including consulting, development, and property management",Bruce Watts,,Norfolk,VA,757-650-0361,http://wattsrealestatedevelopment.com/
"WDi Architecture, Inc.",2028-01-30 00:00:00,MWBE,Professional Services,"High quality architectural, planning, and design, and construction administration services for a wide variety of new and renovation projects. Our innovative, sustainable designs assignments include commercial, institutional, multi-family housing, and mixed-development",Daryl Williams-Dotson,Marion,Indianapolis,IN,317-716-1433,https://wdiarchitecture.com/
"Weber and Associates, Inc. DBA Design 27",2028-04-30 00:00:00,WBE,Consultant,"Working with architects, facility and business owners to design all low voltage systems including structured cabling, telecom, audio visual, access control, video security, and  instrusion",Meri Weber,,Indianapolis,IN,317-536-8000,https://design27.com/
"Wellness Creative, LLC",2028-09-30 00:00:00,WBE ,Professional Services,Music therapy services ,Amber Colliver ,Fayette ,Lexington,KY ,859-287-4111,https://wellnessmtc.com/
"West Indies Family Cleaning, LLC",2026-08-30 00:00:00,MWBE,Non-Professional Services,Residential and commercial cleaning,Marie Abigail Etienne,Jefferson,Louisville,KY,502-544-9237,
"West Lou Coffee, LLC",2026-12-30 00:00:00,MBE,Retail,"Wholesale coffee roaster for restaurants, cafes, and grocery stores, as well as online coffee sales",Sean L. Roberson,Jefferson,Louisville,KY,678-852-1555,https://westloucoffee.com/home
"Wildflower Consulting, LLC ",2028-09-30 00:00:00,WBE,Consultant,"Public health consulting, technical writing, strategic planning, management, scientific & technical consulting services; other management consulting ",Lisa Tobe ,Jefferson ,Louisville,KY,530-318-4887,http://www.wildflowerllc.org/
"Wilson NKY Mobile Notary Services, LLC",2027-10-30 00:00:00,MWBE,Professional Services,"Notary Public, Loan Signing Agent, I-9 verification and property condition and valuation inspection services for mortgages and loans (can include houses, vehicles, etc.)",Ruby Hurry-Wilson,Campbell,Alexandria,KY,859-600-5536,
"Winter Wheat, LLC",2029-04-30 00:00:00,WBE,Consultant,"Management and development consulting for organizations, institutions, and public-private partners executing real estate and community development projects. Services include strategic planning, feasibility analysis, financial modeling, funding strategy, and implementation guidance",Mary Kate Lindsey,Jefferson,Louisville,KY,502-751-3882,https://winterwheat.us/
"Winterwood, Inc.",2026-08-30 00:00:00,WBE,Professional Services,Property management services for affordable housing developments,Danielle Bonnell,Fayette,Lexington,KY,859-977-6915,https://winterwoodonline.com/
"Woodford Property Management, Inc.",2027-06-30 00:00:00,WBE,Other,Property maintenance management,Velda Watts,Franklin,Frankfort,KY,800-262-5475,
"Workman Water & Waste, LLC",2026-12-30 00:00:00,WBE,Contractor,"Wet taps, valve insertions, line testing, and chlorinating",Constance Willis,Pulaski,Bronston,KY,606-872-0222,https://workmanswaterservices.com/
"Xtek Partners, Inc",2028-01-30 00:00:00,WBE,Consultant,Technology resellers and services provider,Susan Harrah,Franklin,Columbus,OH,614-973-7400,https://www.xtekpartners.com/
"Xtreme Cleaning Solutions, LLC dba Xtreme Coating Solutions                              ",2028-04-30 00:00:00,WBE,Contractor,"Hard surface floor restoration, Tile and Grout Restoration, Protection with Coatings, Vinyl Flooring Protection, Stone Honing and Polishing, Decorative Concrete Epoxy and Polishing, Industrial Safety Striping, Routine Maintenance Flooring Cleaning and Care",Jessica Wuchterl,Oldham,Crestwood,KY,502-265-3088,https://www.xtreme-coat.com/
Yes Marketing,2026-08-30 00:00:00,MBE,Professional Services,Video production and print broker,Darrell Boaz,Jefferson,Louisville,KY,502-975-1948,www.only1yes.com
"Yoshis Industrial Packaging Supply, LLC",2028-05-30 00:00:00,MWBE,Supplier/Distributor,"Resale of MRO supplies, hand tools, janitorial supplies",Teri Collins,Henderson,Henderson,KY,800-430-1417,http://www.yoshissupply.com/
"You’ve Got Curls, LLC dba In Living Curls Vending",2026-05-30 00:00:00,MWBE,Non-Professional Services,"Haircare consulting, community engagement, durable medical equipment, including wigs and hairpieces",Melanie T. Higgins-Day,Fayette,Lexington,KY,859-552-9201,https://www.gotcurls.com/
"Young Cimtech, LLC dba Cimtech, Inc.",2028-01-30 00:00:00,WBE,Manufacturer,"Precision machined parts, fabricated, welded, assembly and sub-assembly",Jesika Young,Floyd,New Albany,IN,812-948-1422,http://www.cimtechmachine.com/
"Young Trucking, LLC",2029-02-28 00:00:00,WBE,Trucking,Trucking & hauling,Salena Young,Webster,Sebree,KY,270-860-8110,
"Z Connect, Inc.",2026-05-30 00:00:00,MBE,Supplier/Distributor,"Global sales, service, and technology company providing building automation controls, technology driven hardware, software products, and innovative solutions supporting organizations’ hardware and security needs",Rick Zamora,Cuyahoga,BrookPark,OH,216-926-5180,
"Zinkon Creative, Inc. dba Zinkon Creative Studio",2028-04-30 00:00:00,WBE,Consultant,Professional Lighting Design for Architectural Construction Projects,Ardra Zinkon,,Pickerington,OH,614-866-2868,https://www.zinkoncreative.com/
"Ziva Institute, LLC    ",2027-10-30 00:00:00,WBE,Professional Services,"Team development, organizational development, executive leadership training and coaching",Dr. Kinga Mnich,Fayette,Lexington,KY,864-814-8810,https://kingamnich.com/ziva-institute/
,,,,,,,,,,
,,,,,,,,,,
Key:,,,,,,,,,,
MBE - Minority Business Enterprise,,,,,,,,,,
WBE - Women Business Enterprise,,,,,,,,,,
MWBE - Minority owned Women Business Enterprise,,,,,,,,,,
